participant,vis,rdirection,sign,visandsign,rbase,approach,jnd
hskp2i7w,donut,negative,-1,donutnegative,0.3,below,0.135
hrjxgzrx,scatterplot,negative,-1,scatterplotnegative,0.3,above,0.365
hrjxgzrx,scatterplot,negative,-1,scatterplotnegative,0.6,above,0.063333333
hrjxgzrx,scatterplot,negative,-1,scatterplotnegative,0.6,below,0.128333333
hrjxgzrx,scatterplot,negative,-1,scatterplotnegative,0.3,below,0.291666667
hrqfen7i,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.6,above,0.051666667
hrqfen7i,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.3,below,0.105
hrqfen7i,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.6,below,0.066666667
hrqfen7i,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.3,above,0.056666667
hs1wxxha,line,positive,1,linepositive,0.4,above,0.416666667
hs1wxxha,line,positive,1,linepositive,0.4,below,0.225
hs1wxxha,line,positive,1,linepositive,0.7,below,0.331666667
hs1wxxha,line,positive,1,linepositive,0.7,above,0.121666667
hsj6a0kv,stackedarea,positive,1,stackedareapositive,0.3,below,0.366666667
hsj6a0kv,stackedarea,positive,1,stackedareapositive,0.6,below,0.401666667
hsj6a0kv,stackedarea,positive,1,stackedareapositive,0.6,above,0.166666667
hsj6a0kv,stackedarea,positive,1,stackedareapositive,0.3,above,0.268333333
hs6ghagf,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.146666667
hs6ghagf,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.09
hs6ghagf,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.201666667
hs6ghagf,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.228333333
hrjhykzo,scatterplot,negative,-1,scatterplotnegative,0.4,below,0.065
hrjhykzo,scatterplot,negative,-1,scatterplotnegative,0.8,below,0.041666667
hrjhykzo,scatterplot,negative,-1,scatterplotnegative,0.8,above,0.03625
hrjhykzo,scatterplot,negative,-1,scatterplotnegative,0.4,above,0.073333333
hsi6parj,stackedline,positive,1,stackedlinepositive,0.4,below,0.27
hsi6parj,stackedline,positive,1,stackedlinepositive,0.4,above,0.383333333
hsi6parj,stackedline,positive,1,stackedlinepositive,0.7,below,0.216666667
hsi6parj,stackedline,positive,1,stackedlinepositive,0.7,above,0.126666667
hsl1lghr,donut,positive,1,donutpositive,0.5,below,0.4
hsl1lghr,donut,positive,1,donutpositive,0.5,above,0.46625
hsl1lghr,donut,positive,1,donutpositive,0.8,below,0.571666667
hsl1lghr,donut,positive,1,donutpositive,0.8,above,0.185416667
hrqipx0y,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.8,below,0.795
hrqipx0y,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.5,above,0.48875
hrqipx0y,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.8,above,0.179583333
hrqipx0y,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.5,below,0.283333333
hscgs35o,line,negative,-1,linenegative,0.8,above,0.189583333
hscgs35o,line,negative,-1,linenegative,0.8,below,0.546666667
hscgs35o,line,negative,-1,linenegative,0.5,below,0.48
hscgs35o,line,negative,-1,linenegative,0.5,above,0.101666667
hsi3u01b,stackedline,positive,1,stackedlinepositive,0.3,below,0.336666667
hsi3u01b,stackedline,positive,1,stackedlinepositive,0.6,below,0.386666667
hsi3u01b,stackedline,positive,1,stackedlinepositive,0.6,above,0.353333333
